Arbol,Altura,DAP,Latitud NG,Latitud NM,Latitud NS,Longitud OG,Longitud OM,Longitud OS,Especie,Acro,Crecimiento,Rep,Tip Rep,Orientacion,Cobertura,
31,13,12,19,29,14.8,97,2,22.4,Brigantiaea leucoxantha,BrLeu,Cos,Sex,apot,NaN,NaN,
31,13,12,19,29,14.8,97,2,22.4,Herpothallon philippinum,HePhi,Cos,Asex,Isid,NaN,NaN,
31,13,12,19,29,14.8,97,2,22.4,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,NaN,NaN,
31,13,12,19,29,14.8,97,2,22.4,Ocellularia landronii,OcLa,Cos,Sex,Apot,NaN,NaN,
31,13,12,19,29,14.8,97,2,22.4,Parmotrema sp. ,PaSp,Fol,NaN,NaN,NaN,NaN,
31,13,12,19,29,14.8,97,2,22.4,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,NaN,NaN,
32,24,44,19,29,14.8,97,2,22.4,Graphis mexicana,GrMex,Cos,Sex,Lirel,NaN,NaN,
32,24,44,19,29,14.8,97,2,22.4,Graphis rimulosa,GrRim,Cos,Sex,Lirel,NaN,NaN,
32,24,44,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Norte,96,
32,24,44,19,29,14.8,97,2,22.4,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,NaN,NaN,
32,24,44,19,29,14.8,97,2,22.4,Hypotrachyna vexans,HyVex,Fol,Asex,Isid,sur,14,
33,20,25,19,29,14.8,97,2,22.4,Fibrillithecis confusa,FiCon,Cos,Asex,Isid,Noroeste,10,
33,20,25,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Noroeste,2,
33,20,25,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sureste,16,
33,20,25,19,29,14.8,97,2,22.4,Hypotrachyna sp. ,HySp,Fol,NaN,NaN,Noroeste,24,
33,20,25,19,29,14.8,97,2,22.4,Lopezaria versicolor,LoVer,Cos,Sex,Apot,Sureste,236,
33,20,25,19,29,14.8,97,2,22.4,Parmotrema reticulatum,PaRet,Fol,Asex,Sor,Noroeste,28,
33,20,25,19,29,14.8,97,2,22.4,Parmotrema subisidiosum,PaSub,Fol,Asex,Isid,Sureste,20,
33,20,25,19,29,14.8,97,2,22.4,Polyblastidium japonicum,PolJa,Fol,Asex,Sor,Noroeste,10,
34,24,25,19,29,14.8,97,2,22.4,Brigantiaea leucoxantha,BrLeu,Cos,Sex,apot,Noroeste,56,
34,24,25,19,29,14.8,97,2,22.4,Herpothallon roseocintum,HeRos,Cos,Asex,Isid,Noroeste,6,
34,24,25,19,29,14.8,97,2,22.4,Herpothallon rubrocinctum,HeRub,Cos,Asex,Isid,Sureste,4.8,
34,24,25,19,29,14.8,97,2,22.4,Heterodermia c.f. isidiophora,HeIsi,Fol,Asex,Isid,Noroeste,24,
34,24,25,19,29,14.8,97,2,22.4,Parmeliella sp.,ParSp,Fol,NaN,NaN,Noroeste,18,
34,24,25,19,29,14.8,97,2,22.4,Parmotrema cf. latissimum,PaLat,Fol,Sex,Apot,Noroeste,96,
